Date,Artist Name,Song Title,Streaming Numbers,Social Media Mentions,Likes and Shares,Concert Attendance
2023-10-23 05:12:09.995013,Pixelated Poets,404 Love Not Found,13206,953,7554,4201
2023-10-23 05:12:09.995013,Pixelated Poets,Syncing Low,33763,252,9686,3958
2023-10-23 05:12:09.995013,Binary Beats,Love in the Time of Data,19348,1211,3447,4935
2023-10-23 05:12:09.995013,Binary Beats,Byte-Sized Affections,48534,1697,7314,1338
2023-10-23 05:12:09.995013,Binary Beats,Cache in My Heart,29570,1858,1459,2612
2023-10-23 05:12:09.995013,Binary Beats,404 Love Not Found,40449,1820,5532,1615
2023-10-23 05:12:09.995013,Binary Beats,Syncing Low,13365,963,5266,2323
2023-10-23 05:12:09.995013,Circuit Serenade,Love in the Time of Data,25021,588,4693,1653
2023-10-23 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,10234,309,5845,2811
2023-10-23 05:12:09.995013,Circuit Serenade,Cache in My Heart,40220,1371,8264,1142
2023-10-23 05:12:09.995013,Circuit Serenade,404 Love Not Found,30207,1268,9252,3548
2023-10-23 05:12:09.995013,Circuit Serenade,Syncing Low,20347,1251,3883,2090
2023-10-23 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,17783,767,4275,4374
2023-10-23 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,6788,1989,8673,1563
2023-10-23 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,27025,1943,3974,4334
2023-10-23 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,24309,947,3838,4011
2023-10-23 05:12:09.995013,Algorithmic Symphony,Syncing Low,17407,314,3343,2754
2023-10-23 05:12:09.995013,Digital Dreamers,Love in the Time of Data,14840,1071,2137,2479
2023-10-23 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,28239,1422,6720,3617
2023-10-23 05:12:09.995013,Digital Dreamers,Cache in My Heart,3151,1854,5774,3843
2023-10-23 05:12:09.995013,Digital Dreamers,404 Love Not Found,44000,1436,5270,3936
2023-10-23 05:12:09.995013,Digital Dreamers,Syncing Low,11917,1166,6471,4832
2023-10-24 05:12:09.995013,Pixelated Poets,Love in the Time of Data,42397,1698,6582,4462
2023-10-24 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,40888,1381,781,416
2023-10-24 05:12:09.995013,Pixelated Poets,Cache in My Heart,22475,1018,4407,1973
2023-10-24 05:12:09.995013,Pixelated Poets,404 Love Not Found,6121,1077,3322,2360
2023-10-24 05:12:09.995013,Pixelated Poets,Syncing Low,3742,806,3163,1714
2023-10-24 05:12:09.995013,Binary Beats,Love in the Time of Data,15324,167,9271,1851
2023-10-24 05:12:09.995013,Binary Beats,Byte-Sized Affections,3654,1303,3133,4718
2023-10-24 05:12:09.995013,Binary Beats,Cache in My Heart,17671,738,3417,4534
2023-10-24 05:12:09.995013,Binary Beats,404 Love Not Found,8611,287,7732,2489
2023-10-24 05:12:09.995013,Binary Beats,Syncing Low,12845,175,7686,2518
2023-10-24 05:12:09.995013,Circuit Serenade,Love in the Time of Data,31377,1292,9442,2617
2023-10-24 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,25096,254,7443,1816
2023-10-24 05:12:09.995013,Circuit Serenade,Cache in My Heart,36494,1859,1464,571
2023-10-24 05:12:09.995013,Circuit Serenade,404 Love Not Found,37608,1161,4486,657
2023-10-24 05:12:09.995013,Circuit Serenade,Syncing Low,36703,774,5705,2742
2023-10-24 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,21888,1860,7731,2029
2023-10-24 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,2314,754,4851,3491
2023-10-24 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,24615,1648,3230,4386
2023-10-24 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,18805,1841,7179,3900
2023-10-24 05:12:09.995013,Algorithmic Symphony,Syncing Low,4667,636,2042,3124
2023-10-24 05:12:09.995013,Digital Dreamers,Love in the Time of Data,18777,1181,3700,3814
2023-10-24 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,16949,1873,2038,3383
2023-10-24 05:12:09.995013,Digital Dreamers,Cache in My Heart,12578,1419,6024,487
2023-10-24 05:12:09.995013,Digital Dreamers,404 Love Not Found,1617,323,2859,2344
2023-10-24 05:12:09.995013,Digital Dreamers,Syncing Low,30768,710,2620,55
2023-10-25 05:12:09.995013,Pixelated Poets,Love in the Time of Data,32141,862,3107,3127
2023-10-25 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,45718,1527,3841,1997
2023-10-25 05:12:09.995013,Pixelated Poets,Cache in My Heart,18926,893,1990,543
2023-10-25 05:12:09.995013,Pixelated Poets,404 Love Not Found,6262,445,7948,666
2023-10-25 05:12:09.995013,Pixelated Poets,Syncing Low,1383,204,1675,2971
2023-10-25 05:12:09.995013,Binary Beats,Love in the Time of Data,9564,433,4840,1443
2023-10-25 05:12:09.995013,Binary Beats,Byte-Sized Affections,26867,846,7099,226
2023-10-25 05:12:09.995013,Binary Beats,Cache in My Heart,47737,871,1439,2006
2023-10-25 05:12:09.995013,Binary Beats,404 Love Not Found,13514,469,4998,4561
2023-10-25 05:12:09.995013,Binary Beats,Syncing Low,40615,361,6002,4602
2023-10-25 05:12:09.995013,Circuit Serenade,Love in the Time of Data,32509,960,1287,1834
2023-10-25 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,34282,1690,1268,1303
2023-10-25 05:12:09.995013,Circuit Serenade,Cache in My Heart,4098,1820,6386,3404
2023-10-25 05:12:09.995013,Circuit Serenade,404 Love Not Found,4319,150,7055,1517
2023-10-25 05:12:09.995013,Circuit Serenade,Syncing Low,10161,393,4888,4676
2023-10-25 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,22990,803,1767,3735
2023-10-25 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,49472,1156,4709,834
2023-10-25 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,8795,1150,7872,430
2023-10-25 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,21123,683,3794,3400
2023-10-25 05:12:09.995013,Algorithmic Symphony,Syncing Low,15855,1783,6855,1816
2023-10-25 05:12:09.995013,Digital Dreamers,Love in the Time of Data,17267,538,7885,3003
2023-10-25 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,42830,1954,4144,4751
2023-10-25 05:12:09.995013,Digital Dreamers,Cache in My Heart,22657,1312,1328,2585
2023-10-25 05:12:09.995013,Digital Dreamers,404 Love Not Found,31858,1565,3316,2654
2023-10-25 05:12:09.995013,Digital Dreamers,Syncing Low,17472,1723,2607,1554
2023-10-26 05:12:09.995013,Pixelated Poets,Love in the Time of Data,1582,806,4928,4652
2023-10-26 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,23158,1086,2303,1506
2023-10-26 05:12:09.995013,Pixelated Poets,Cache in My Heart,12684,449,781,3282
2023-10-26 05:12:09.995013,Pixelated Poets,404 Love Not Found,33423,1213,7219,2388
2023-10-26 05:12:09.995013,Pixelated Poets,Syncing Low,23411,1262,6431,4188
