Date,Event Name,Ticket Type,Attendee Age,Attendee Gender,Transportation Mode,Accommodation Type,Ticket Price,Tickets Sold
2022-11-10 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Female,Rideshare,Stay with Friends/Family,275,37
2022-11-11 05:12:09.995013,RockNRebel Music Fest,General Admission,Under 18,Non-binary,Rideshare,Stay with Friends/Family,293,54
2022-11-12 05:12:09.995013,ElectroBeat Expo,VIP,18-25,Female,Rideshare,Hostel,164,424
2022-11-13 05:12:09.995013,Retro Rewind Concert,VIP,36-45,Female,Walk,Stay with Friends/Family,236,140
2022-11-14 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Male,Car,Hostel,237,295
2022-11-15 05:12:09.995013,RockNRebel Music Fest,Group Discount,18-25,Female,Public Transport,Stay with Friends/Family,239,211
2022-11-16 05:12:09.995013,Cosmic Sound Festival,General Admission,Over 55,Male,Rideshare,Stay with Friends/Family,250,290
2022-11-17 05:12:09.995013,Retro Rewind Concert,General Admission,36-45,Non-binary,Car,Stay with Friends/Family,177,420
2022-11-18 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Prefer not to say,Rideshare,Hostel,152,118
2022-11-19 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Female,Bike,Camping,50,200
2022-11-20 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Male,Public Transport,Stay with Friends/Family,269,248
2022-11-21 05:12:09.995013,Retro Rewind Concert,Backstage Pass,36-45,Non-binary,Walk,Camping,203,37
2022-11-22 05:12:09.995013,Cosmic Sound Festival,VIP,Over 55,Male,Walk,Hostel,255,269
2022-11-23 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Male,Walk,Camping,121,300
2022-11-24 05:12:09.995013,Retro Rewind Concert,General Admission,36-45,Prefer not to say,Public Transport,Airbnb,289,219
2022-11-25 05:12:09.995013,ElectroBeat Expo,Group Discount,Under 18,Prefer not to say,Car,Airbnb,247,54
2022-11-26 05:12:09.995013,RockNRebel Music Fest,General Admission,18-25,Male,Public Transport,Stay with Friends/Family,133,360
2022-11-27 05:12:09.995013,ElectroBeat Expo,Backstage Pass,26-35,Non-binary,Bike,Hostel,277,257
2022-11-28 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Prefer not to say,Public Transport,Camping,118,469
2022-11-29 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Male,Public Transport,Camping,184,95
2022-11-30 05:12:09.995013,Retro Rewind Concert,General Admission,46-55,Male,Walk,Camping,297,445
2022-12-01 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,46-55,Non-binary,Bike,Stay with Friends/Family,104,72
2022-12-02 05:12:09.995013,RockNRebel Music Fest,VIP,26-35,Female,Bike,Hotel,128,226
2022-12-03 05:12:09.995013,Retro Rewind Concert,General Admission,46-55,Prefer not to say,Bike,Camping,116,430
2022-12-04 05:12:09.995013,ElectroBeat Expo,VIP,26-35,Prefer not to say,Public Transport,Hotel,285,61
2022-12-05 05:12:09.995013,RockNRebel Music Fest,Group Discount,36-45,Non-binary,Car,Hotel,188,181
2022-12-06 05:12:09.995013,RockNRebel Music Fest,General Admission,Under 18,Male,Public Transport,Airbnb,165,462
2022-12-07 05:12:09.995013,Jazz & Jive Weekend,Group Discount,26-35,Female,Rideshare,Camping,55,100
2022-12-08 05:12:09.995013,Retro Rewind Concert,VIP,Under 18,Female,Walk,Hotel,181,305
2022-12-09 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Walk,Hostel,101,48
2022-12-10 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Non-binary,Walk,Camping,118,335
2022-12-11 05:12:09.995013,Retro Rewind Concert,Group Discount,46-55,Female,Car,Hotel,87,117
2022-12-12 05:12:09.995013,ElectroBeat Expo,Backstage Pass,18-25,Prefer not to say,Walk,Hostel,85,399
2022-12-13 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Male,Walk,Hotel,271,107
2022-12-14 05:12:09.995013,RockNRebel Music Fest,VIP,36-45,Female,Walk,Airbnb,145,351
2022-12-15 05:12:09.995013,Retro Rewind Concert,General Admission,46-55,Female,Bike,Stay with Friends/Family,93,142
2022-12-16 05:12:09.995013,ElectroBeat Expo,Group Discount,26-35,Male,Public Transport,Hotel,208,358
2022-12-17 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Male,Bike,Hostel,139,2
2022-12-18 05:12:09.995013,Jazz & Jive Weekend,VIP,46-55,Prefer not to say,Car,Stay with Friends/Family,295,433
2022-12-19 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Non-binary,Car,Hotel,262,391
2022-12-20 05:12:09.995013,Cosmic Sound Festival,VIP,26-35,Prefer not to say,Walk,Camping,66,473
2022-12-21 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Male,Bike,Stay with Friends/Family,78,32
2022-12-22 05:12:09.995013,Jazz & Jive Weekend,General Admission,Under 18,Non-binary,Walk,Camping,208,7
2022-12-23 05:12:09.995013,Retro Rewind Concert,VIP,Over 55,Non-binary,Public Transport,Airbnb,110,452
2022-12-24 05:12:09.995013,Jazz & Jive Weekend,General Admission,26-35,Non-binary,Walk,Hotel,240,117
2022-12-25 05:12:09.995013,Cosmic Sound Festival,General Admission,46-55,Non-binary,Rideshare,Hostel,154,410
2022-12-26 05:12:09.995013,Retro Rewind Concert,VIP,Under 18,Prefer not to say,Bike,Airbnb,278,343
2022-12-27 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Prefer not to say,Public Transport,Hostel,123,436
2022-12-28 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Non-binary,Rideshare,Camping,204,14
2022-12-29 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Prefer not to say,Car,Hostel,108,348
2022-12-30 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Female,Walk,Airbnb,165,198
2022-12-31 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Car,Camping,287,86
2023-01-01 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Prefer not to say,Rideshare,Hostel,138,453
2023-01-02 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Under 18,Female,Car,Hotel,172,411
2023-01-03 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Non-binary,Public Transport,Stay with Friends/Family,187,280
2023-01-04 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Non-binary,Rideshare,Hostel,99,307
2023-01-05 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Female,Rideshare,Hotel,152,250
2023-01-06 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Male,Bike,Camping,242,61
2023-01-07 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Prefer not to say,Public Transport,Stay with Friends/Family,137,261
2023-01-08 05:12:09.995013,Retro Rewind Concert,Group Discount,18-25,Male,Walk,Stay with Friends/Family,125,55
2023-01-09 05:12:09.995013,RockNRebel Music Fest,VIP,Over 55,Non-binary,Bike,Hostel,173,381
2023-01-10 05:12:09.995013,Cosmic Sound Festival,Group Discount,Under 18,Prefer not to say,Bike,Camping,175,425
2023-01-11 05:12:09.995013,Retro Rewind Concert,General Admission,36-45,Female,Public Transport,Stay with Friends/Family,198,485
2023-01-12 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Male,Bike,Airbnb,182,112
2023-01-13 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Non-binary,Bike,Airbnb,65,274
2023-01-14 05:12:09.995013,ElectroBeat Expo,Backstage Pass,36-45,Male,Public Transport,Airbnb,245,197
2023-01-15 05:12:09.995013,Jazz & Jive Weekend,General Admission,36-45,Non-binary,Public Transport,Hotel,133,409
2023-01-16 05:12:09.995013,ElectroBeat Expo,General Admission,36-45,Female,Walk,Stay with Friends/Family,191,260
2023-01-17 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Female,Car,Hostel,55,204
2023-01-18 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Male,Walk,Airbnb,139,258
2023-01-19 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Prefer not to say,Rideshare,Hostel,293,354
2023-01-20 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Male,Walk,Stay with Friends/Family,146,16
2023-01-21 05:12:09.995013,Retro Rewind Concert,General Admission,46-55,Male,Public Transport,Hotel,109,393
2023-01-22 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Prefer not to say,Bike,Airbnb,292,114
2023-01-23 05:12:09.995013,Cosmic Sound Festival,General Admission,Under 18,Non-binary,Walk,Hostel,228,230
2023-01-24 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Prefer not to say,Public Transport,Airbnb,217,285
2023-01-25 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Prefer not to say,Rideshare,Stay with Friends/Family,81,19
2023-01-26 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Over 55,Female,Walk,Airbnb,65,10
2023-01-27 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Female,Bike,Camping,115,171
2023-01-28 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Female,Walk,Stay with Friends/Family,215,237
2023-01-29 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Male,Car,Stay with Friends/Family,121,335
2023-01-30 05:12:09.995013,ElectroBeat Expo,Group Discount,36-45,Non-binary,Walk,Camping,96,382
2023-01-31 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Prefer not to say,Car,Hotel,279,418
2023-02-01 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Non-binary,Public Transport,Hotel,120,384
2023-02-02 05:12:09.995013,Retro Rewind Concert,Backstage Pass,46-55,Prefer not to say,Rideshare,Camping,175,259
2023-02-03 05:12:09.995013,Cosmic Sound Festival,VIP,Over 55,Non-binary,Public Transport,Camping,229,373
2023-02-04 05:12:09.995013,Retro Rewind Concert,VIP,36-45,Female,Bike,Hotel,262,85
2023-02-05 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Male,Public Transport,Stay with Friends/Family,187,144
2023-02-06 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Male,Bike,Camping,98,33
2023-02-07 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Over 55,Prefer not to say,Public Transport,Hostel,139,379
2023-02-08 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Female,Bike,Airbnb,269,496
2023-02-09 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,18-25,Male,Walk,Hotel,180,431
2023-02-10 05:12:09.995013,ElectroBeat Expo,General Admission,36-45,Prefer not to say,Car,Hotel,286,334
2023-02-11 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Prefer not to say,Bike,Hostel,297,195
2023-02-12 05:12:09.995013,Jazz & Jive Weekend,General Admission,26-35,Prefer not to say,Walk,Hotel,204,413
2023-02-13 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,46-55,Male,Rideshare,Stay with Friends/Family,277,466
2023-02-14 05:12:09.995013,Cosmic Sound Festival,General Admission,Over 55,Male,Bike,Airbnb,148,379
2023-02-15 05:12:09.995013,Retro Rewind Concert,VIP,Over 55,Female,Rideshare,Airbnb,264,455
2023-02-16 05:12:09.995013,RockNRebel Music Fest,Group Discount,36-45,Male,Walk,Stay with Friends/Family,59,184
2023-02-17 05:12:09.995013,Retro Rewind Concert,Group Discount,46-55,Prefer not to say,Public Transport,Stay with Friends/Family,94,21
2023-02-18 05:12:09.995013,Jazz & Jive Weekend,Group Discount,36-45,Prefer not to say,Rideshare,Hostel,50,52
2023-02-19 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,26-35,Male,Car,Stay with Friends/Family,232,243
2023-02-20 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Prefer not to say,Walk,Airbnb,267,92
2023-02-21 05:12:09.995013,ElectroBeat Expo,General Admission,46-55,Male,Car,Camping,226,104
2023-02-22 05:12:09.995013,Jazz & Jive Weekend,General Admission,36-45,Prefer not to say,Rideshare,Hotel,235,485
2023-02-23 05:12:09.995013,RockNRebel Music Fest,General Admission,26-35,Non-binary,Public Transport,Airbnb,177,156
2023-02-24 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Male,Bike,Hostel,139,404
2023-02-25 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Male,Public Transport,Camping,193,330
2023-02-26 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Walk,Camping,65,406
2023-02-27 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Male,Rideshare,Camping,265,459
2023-02-28 05:12:09.995013,Jazz & Jive Weekend,Group Discount,26-35,Female,Bike,Airbnb,126,242
2023-03-01 05:12:09.995013,RockNRebel Music Fest,VIP,36-45,Female,Car,Hostel,216,82
2023-03-02 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,18-25,Prefer not to say,Walk,Hostel,245,80
2023-03-03 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Non-binary,Rideshare,Camping,299,116
2023-03-04 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Female,Public Transport,Stay with Friends/Family,134,43
2023-03-05 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Prefer not to say,Bike,Hostel,260,298
2023-03-06 05:12:09.995013,RockNRebel Music Fest,VIP,46-55,Non-binary,Rideshare,Camping,155,403
2023-03-07 05:12:09.995013,RockNRebel Music Fest,Group Discount,36-45,Prefer not to say,Bike,Hostel,193,124
2023-03-08 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Prefer not to say,Rideshare,Camping,113,115
2023-03-09 05:12:09.995013,Jazz & Jive Weekend,VIP,36-45,Prefer not to say,Walk,Airbnb,220,486
2023-03-10 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Non-binary,Bike,Camping,107,286
2023-03-11 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Non-binary,Car,Airbnb,183,469
2023-03-12 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Male,Public Transport,Airbnb,86,231
2023-03-13 05:12:09.995013,Cosmic Sound Festival,VIP,46-55,Female,Rideshare,Hostel,177,306
2023-03-14 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Male,Public Transport,Stay with Friends/Family,232,407
2023-03-15 05:12:09.995013,Retro Rewind Concert,Group Discount,18-25,Prefer not to say,Public Transport,Hotel,204,422
2023-03-16 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Male,Walk,Stay with Friends/Family,82,210
2023-03-17 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Female,Car,Hostel,235,373
2023-03-18 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Non-binary,Bike,Hotel,219,112
2023-03-19 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Non-binary,Car,Hotel,204,421
2023-03-20 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Male,Car,Stay with Friends/Family,273,305
2023-03-21 05:12:09.995013,RockNRebel Music Fest,VIP,Over 55,Female,Rideshare,Airbnb,236,435
2023-03-22 05:12:09.995013,Cosmic Sound Festival,VIP,18-25,Prefer not to say,Public Transport,Camping,109,354
2023-03-23 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Non-binary,Rideshare,Hostel,218,80
2023-03-24 05:12:09.995013,Retro Rewind Concert,Backstage Pass,46-55,Male,Public Transport,Camping,100,3
2023-03-25 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,18-25,Non-binary,Bike,Camping,267,275
2023-03-26 05:12:09.995013,Retro Rewind Concert,Backstage Pass,Over 55,Female,Walk,Hotel,66,408
2023-03-27 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Female,Rideshare,Hotel,100,396
2023-03-28 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Non-binary,Walk,Airbnb,125,132
2023-03-29 05:12:09.995013,Retro Rewind Concert,Group Discount,Over 55,Prefer not to say,Bike,Airbnb,76,64
2023-03-30 05:12:09.995013,Cosmic Sound Festival,General Admission,46-55,Non-binary,Rideshare,Hostel,265,22
2023-03-31 05:12:09.995013,RockNRebel Music Fest,General Admission,Under 18,Prefer not to say,Bike,Hotel,78,5
2023-04-01 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Prefer not to say,Walk,Stay with Friends/Family,282,46
2023-04-02 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,Over 55,Male,Car,Camping,103,272
2023-04-03 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Male,Bike,Hostel,168,477
2023-04-04 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Female,Bike,Hostel,167,25
2023-04-05 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Non-binary,Rideshare,Hotel,89,154
2023-04-06 05:12:09.995013,Jazz & Jive Weekend,Group Discount,Over 55,Male,Rideshare,Hostel,227,176
2023-04-07 05:12:09.995013,ElectroBeat Expo,VIP,46-55,Non-binary,Rideshare,Stay with Friends/Family,60,17
2023-04-08 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Prefer not to say,Bike,Airbnb,221,485
2023-04-09 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Female,Rideshare,Stay with Friends/Family,149,255
2023-04-10 05:12:09.995013,ElectroBeat Expo,Group Discount,18-25,Female,Rideshare,Camping,57,259
2023-04-11 05:12:09.995013,RockNRebel Music Fest,General Admission,18-25,Female,Car,Camping,232,444
2023-04-12 05:12:09.995013,RockNRebel Music Fest,Group Discount,46-55,Non-binary,Car,Hostel,279,499
2023-04-13 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Non-binary,Car,Airbnb,268,188
2023-04-14 05:12:09.995013,Retro Rewind Concert,VIP,36-45,Female,Walk,Stay with Friends/Family,257,185
2023-04-15 05:12:09.995013,Retro Rewind Concert,Backstage Pass,18-25,Prefer not to say,Public Transport,Stay with Friends/Family,155,75
2023-04-16 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Prefer not to say,Bike,Hostel,209,94
2023-04-17 05:12:09.995013,Cosmic Sound Festival,General Admission,26-35,Non-binary,Car,Hostel,279,428
2023-04-18 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Prefer not to say,Rideshare,Camping,281,431
2023-04-19 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Male,Walk,Stay with Friends/Family,187,128
2023-04-20 05:12:09.995013,Retro Rewind Concert,General Admission,26-35,Prefer not to say,Walk,Stay with Friends/Family,88,152
2023-04-21 05:12:09.995013,Jazz & Jive Weekend,Group Discount,Under 18,Male,Car,Camping,79,221
2023-04-22 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Non-binary,Rideshare,Camping,200,492
2023-04-23 05:12:09.995013,ElectroBeat Expo,VIP,46-55,Male,Bike,Stay with Friends/Family,67,93
2023-04-24 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Prefer not to say,Public Transport,Hostel,179,353
2023-04-25 05:12:09.995013,Retro Rewind Concert,VIP,18-25,Female,Rideshare,Hotel,235,290
2023-04-26 05:12:09.995013,Cosmic Sound Festival,Group Discount,Under 18,Prefer not to say,Rideshare,Hotel,286,119
2023-04-27 05:12:09.995013,RockNRebel Music Fest,General Admission,36-45,Male,Car,Airbnb,247,482
2023-04-28 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Non-binary,Bike,Hotel,78,383
2023-04-29 05:12:09.995013,Retro Rewind Concert,Backstage Pass,36-45,Prefer not to say,Public Transport,Hotel,247,398
2023-04-30 05:12:09.995013,Cosmic Sound Festival,General Admission,Under 18,Male,Public Transport,Hotel,284,366
2023-05-01 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Male,Bike,Stay with Friends/Family,263,401
2023-05-02 05:12:09.995013,RockNRebel Music Fest,VIP,36-45,Non-binary,Rideshare,Airbnb,142,88
2023-05-03 05:12:09.995013,ElectroBeat Expo,Group Discount,46-55,Male,Rideshare,Hostel,107,265
2023-05-04 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Female,Walk,Stay with Friends/Family,56,103
2023-05-05 05:12:09.995013,Jazz & Jive Weekend,Group Discount,18-25,Non-binary,Bike,Hostel,189,413
2023-05-06 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Female,Public Transport,Hostel,256,110
2023-05-07 05:12:09.995013,Jazz & Jive Weekend,Group Discount,36-45,Female,Rideshare,Stay with Friends/Family,251,48
2023-05-08 05:12:09.995013,RockNRebel Music Fest,VIP,36-45,Male,Car,Stay with Friends/Family,54,436
2023-05-09 05:12:09.995013,RockNRebel Music Fest,General Admission,46-55,Non-binary,Public Transport,Stay with Friends/Family,102,405
2023-05-10 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Female,Bike,Stay with Friends/Family,285,59
2023-05-11 05:12:09.995013,ElectroBeat Expo,VIP,18-25,Prefer not to say,Bike,Stay with Friends/Family,222,237
2023-05-12 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Female,Walk,Camping,91,447
2023-05-13 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Female,Walk,Camping,159,72
2023-05-14 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Male,Walk,Hotel,99,30
2023-05-15 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Female,Walk,Hotel,144,385
2023-05-16 05:12:09.995013,RockNRebel Music Fest,VIP,18-25,Male,Rideshare,Airbnb,110,183
2023-05-17 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Male,Bike,Airbnb,140,438
2023-05-18 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Non-binary,Public Transport,Airbnb,84,10
2023-05-19 05:12:09.995013,Cosmic Sound Festival,Group Discount,36-45,Prefer not to say,Bike,Stay with Friends/Family,92,172
2023-05-20 05:12:09.995013,RockNRebel Music Fest,VIP,46-55,Male,Public Transport,Airbnb,54,218
2023-05-21 05:12:09.995013,Cosmic Sound Festival,VIP,18-25,Male,Rideshare,Airbnb,159,210
2023-05-22 05:12:09.995013,Jazz & Jive Weekend,Group Discount,Under 18,Prefer not to say,Rideshare,Hostel,282,287
2023-05-23 05:12:09.995013,Cosmic Sound Festival,VIP,18-25,Prefer not to say,Car,Hostel,285,82
2023-05-24 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Female,Bike,Stay with Friends/Family,166,132
2023-05-25 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Male,Walk,Airbnb,194,447
2023-05-26 05:12:09.995013,ElectroBeat Expo,General Admission,18-25,Prefer not to say,Public Transport,Camping,191,194
2023-05-27 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Female,Walk,Stay with Friends/Family,148,152
2023-05-28 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Bike,Stay with Friends/Family,269,118
2023-05-29 05:12:09.995013,Cosmic Sound Festival,General Admission,26-35,Prefer not to say,Walk,Hostel,60,309
2023-05-30 05:12:09.995013,ElectroBeat Expo,VIP,46-55,Non-binary,Public Transport,Hostel,198,115
2023-05-31 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Female,Bike,Hotel,186,151
2023-06-01 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Male,Walk,Camping,138,108
2023-06-02 05:12:09.995013,ElectroBeat Expo,General Admission,36-45,Female,Walk,Camping,246,301
2023-06-03 05:12:09.995013,ElectroBeat Expo,Backstage Pass,26-35,Male,Rideshare,Hostel,55,434
2023-06-04 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Over 55,Non-binary,Car,Stay with Friends/Family,119,482
2023-06-05 05:12:09.995013,Cosmic Sound Festival,Group Discount,26-35,Female,Bike,Hostel,115,87
2023-06-06 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Non-binary,Rideshare,Camping,233,321
2023-06-07 05:12:09.995013,ElectroBeat Expo,General Admission,26-35,Non-binary,Car,Stay with Friends/Family,291,53
2023-06-08 05:12:09.995013,Cosmic Sound Festival,VIP,36-45,Female,Bike,Airbnb,256,482
2023-06-09 05:12:09.995013,RockNRebel Music Fest,General Admission,18-25,Female,Public Transport,Stay with Friends/Family,267,183
2023-06-10 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Over 55,Non-binary,Bike,Camping,110,278
