Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time,DateTime
Byte Beat,Hip Hop,DJ Tent,3420,4464,8,87,31,48,07/03/2022 03:33:00 AM
Hello World,Electronic,VIP Lounge,5594,1397,8,77,59,57,07/03/2022 05:37:27 PM
Epsilon Greedy,Jazz,Indie Arena,8426,2855,7,38,49,48,07/04/2022 01:56:05 PM
Segmentation Fault,Rock,Main Stage,3553,5233,5,91,21,51,07/05/2022 02:28:07 PM
The Query Strings,Jazz,Indie Arena,2644,2145,8,39,17,24,07/06/2022 06:07:06 PM
Cache Miss,Electronic,Indie Arena,5448,9123,7,110,37,32,07/07/2022 11:02:18 PM
The Algorithmics,Indie,DJ Tent,593,4506,4,94,38,43,07/08/2022 09:30:36 PM
Byte Beat,Jazz,Main Stage,4397,421,5,84,18,31,07/09/2022 04:41:59 PM
Cache Miss,Hip Hop,VIP Lounge,5029,8167,1,111,44,46,07/10/2022 11:04:49 AM
Cache Miss,Hip Hop,VIP Lounge,470,6028,2,66,15,21,07/11/2022 10:15:22 AM
The Algorithmics,Hip Hop,Main Stage,5427,5675,5,73,45,20,07/12/2022 09:48:50 PM
Segmentation Fault,Rock,VIP Lounge,5902,1897,7,83,56,17,07/13/2022 01:31:33 PM
Cache Miss,Jazz,Indie Arena,1175,1660,8,75,39,48,07/15/2022 01:35:34 AM
Epsilon Greedy,Hip Hop,Indie Arena,6484,4960,6,79,38,22,07/15/2022 07:14:39 PM
The Query Strings,Indie,Main Stage,9684,8992,7,69,39,21,07/16/2022 06:09:44 PM
Cluster Funk,Rock,VIP Lounge,2237,608,6,73,57,31,07/17/2022 11:00:14 PM
Neural Nets,Electronic,VIP Lounge,3239,2753,4,73,16,55,07/19/2022 12:05:51 AM
The Data Wranglers,Jazz,Indie Arena,3640,624,4,69,41,30,07/19/2022 11:55:14 AM
Parallel Processors,Electronic,Indie Arena,8832,4155,1,82,46,16,07/20/2022 09:42:30 AM
Syntax Error,Rock,VIP Lounge,2145,2735,9,38,29,30,07/22/2022 01:55:58 AM
Cluster Funk,Electronic,VIP Lounge,2536,9512,3,84,58,17,07/22/2022 11:27:04 AM
Epsilon Greedy,Indie,Main Stage,1004,8465,9,49,36,43,07/23/2022 07:25:07 AM
Parallel Processors,Hip Hop,VIP Lounge,3489,2438,2,115,42,49,07/25/2022 05:20:27 AM
Recursive Rhythms,Jazz,DJ Tent,6504,6655,4,81,26,34,07/25/2022 09:07:49 PM
Parallel Processors,Indie,DJ Tent,7883,7464,8,36,47,40,07/26/2022 08:06:51 AM
Cache Miss,Indie,Main Stage,7171,9330,7,93,57,55,07/27/2022 03:10:10 PM
Hello World,Rock,Indie Arena,2397,1004,2,82,35,35,07/29/2022 06:34:51 AM
Recursive Rhythms,Electronic,VIP Lounge,3111,9084,5,88,47,20,07/30/2022 12:18:11 AM
The Algorithmics,Indie,VIP Lounge,1658,3102,9,47,28,31,07/30/2022 06:51:21 PM
Recursive Rhythms,Electronic,VIP Lounge,5751,6098,3,63,33,25,08/01/2022 12:11:53 AM
Recursive Rhythms,Electronic,DJ Tent,7634,870,2,78,38,34,08/01/2022 08:02:33 PM
Recursive Rhythms,Electronic,DJ Tent,8476,8102,7,119,18,42,08/02/2022 07:39:34 AM
Parallel Processors,Hip Hop,Main Stage,5130,8661,8,57,42,25,08/03/2022 03:38:45 PM
The Data Wranglers,Indie,Indie Arena,8610,3874,6,64,43,25,08/05/2022 12:31:27 AM
Cluster Funk,Jazz,Indie Arena,1893,7143,1,61,47,50,08/05/2022 08:43:20 AM
Segmentation Fault,Jazz,DJ Tent,8140,9556,3,83,31,31,08/06/2022 07:10:19 AM
Epsilon Greedy,Rock,Main Stage,2388,3330,9,80,36,27,08/08/2022 12:28:33 AM
Recursive Rhythms,Rock,Main Stage,2204,1503,7,74,15,53,08/08/2022 07:01:56 PM
Recursive Rhythms,Electronic,DJ Tent,2410,3332,2,116,32,44,08/09/2022 11:55:34 AM
The Query Strings,Indie,Main Stage,7382,5110,9,39,34,41,08/10/2022 11:02:54 PM
Byte Beat,Electronic,VIP Lounge,5554,5069,6,116,48,37,08/11/2022 04:22:57 PM
Hello World,Jazz,Indie Arena,2044,8506,1,32,53,47,08/12/2022 07:14:58 AM
The Algorithmics,Hip Hop,VIP Lounge,1942,4283,4,109,47,28,08/13/2022 02:00:13 PM
Cluster Funk,Indie,DJ Tent,7899,4632,6,85,30,27,08/14/2022 08:35:36 AM
Parallel Processors,Jazz,VIP Lounge,7090,4518,6,69,44,45,08/16/2022 02:38:50 AM
Segmentation Fault,Hip Hop,Indie Arena,3834,3510,5,76,26,53,08/16/2022 02:15:27 PM
The Data Wranglers,Jazz,VIP Lounge,1563,8795,6,57,50,52,08/17/2022 11:54:02 PM
The Algorithmics,Rock,Indie Arena,8002,3569,8,92,39,45,08/19/2022 12:33:21 AM
Byte Beat,Jazz,DJ Tent,984,9079,8,65,36,52,08/19/2022 11:07:09 PM
Random Forest,Hip Hop,VIP Lounge,9144,3279,8,80,58,58,08/21/2022 03:09:35 AM
Random Forest,Electronic,Indie Arena,3004,6495,8,115,40,24,08/22/2022 02:56:28 AM
The Data Wranglers,Hip Hop,DJ Tent,8398,8920,1,42,35,28,08/23/2022 04:00:54 AM
Cluster Funk,Rock,Indie Arena,9288,8966,4,84,45,15,08/23/2022 10:52:19 AM
Recursive Rhythms,Jazz,Main Stage,7618,7855,1,84,17,23,08/25/2022 12:33:12 AM
Hello World,Electronic,Main Stage,8136,1791,5,106,31,35,08/25/2022 05:13:41 PM
The Data Wranglers,Electronic,VIP Lounge,553,7193,4,61,51,16,08/26/2022 09:27:06 PM
Cluster Funk,Electronic,DJ Tent,7679,4814,3,39,35,44,08/27/2022 01:56:58 PM
Segmentation Fault,Indie,DJ Tent,4941,9699,9,107,22,27,08/29/2022 12:46:38 AM
Bit Rate,Rock,Main Stage,1914,2443,2,116,47,53,08/29/2022 10:38:57 AM
Cache Miss,Indie,DJ Tent,6044,4803,8,117,20,17,08/30/2022 01:10:12 PM
The Data Wranglers,Jazz,Main Stage,9129,6049,9,100,48,56,08/31/2022 04:49:39 PM
Random Forest,Jazz,VIP Lounge,5053,762,4,60,36,20,09/01/2022 08:46:07 PM
Cache Miss,Electronic,DJ Tent,5263,2393,3,51,39,21,09/02/2022 11:37:15 AM
Hello World,Hip Hop,VIP Lounge,7805,7196,2,73,46,17,09/04/2022 04:37:47 AM
Hello World,Rock,VIP Lounge,3499,4780,4,32,23,57,09/04/2022 06:01:14 PM
Hello World,Indie,DJ Tent,7246,4774,2,57,36,18,09/05/2022 09:55:37 AM
Cache Miss,Hip Hop,VIP Lounge,9614,1838,5,56,44,39,09/06/2022 11:35:07 AM
Epsilon Greedy,Jazz,VIP Lounge,250,1185,7,87,34,41,09/07/2022 09:32:54 PM
The Algorithmics,Jazz,Main Stage,2808,1506,4,62,19,52,09/08/2022 08:34:30 PM
Recursive Rhythms,Hip Hop,Indie Arena,8387,7596,2,69,27,24,09/09/2022 10:30:02 PM
Epsilon Greedy,Electronic,VIP Lounge,7092,1456,8,63,41,30,09/11/2022 06:56:15 AM
Segmentation Fault,Indie,DJ Tent,6593,797,2,98,30,56,09/11/2022 05:04:43 PM
The Data Wranglers,Jazz,Main Stage,9698,1918,1,88,18,29,09/13/2022 06:47:52 AM
Neural Nets,Hip Hop,DJ Tent,1417,8313,3,116,40,41,09/14/2022 01:02:48 AM
Syntax Error,Jazz,DJ Tent,8217,2516,6,75,15,44,09/15/2022 12:48:05 AM
Parallel Processors,Rock,VIP Lounge,6002,6149,8,46,36,39,09/15/2022 08:52:04 AM
Neural Nets,Jazz,DJ Tent,599,3299,7,68,32,23,09/16/2022 06:00:36 PM
Syntax Error,Indie,Indie Arena,4639,1748,4,66,15,46,09/18/2022 02:42:44 AM
Hello World,Jazz,Indie Arena,670,5665,9,68,25,44,09/18/2022 11:11:53 AM
Byte Beat,Electronic,DJ Tent,3366,3671,3,66,43,45,09/20/2022 05:53:55 AM
The Algorithmics,Jazz,DJ Tent,3667,3648,6,44,34,36,09/21/2022 06:32:13 AM
Parallel Processors,Indie,VIP Lounge,8827,4411,2,78,46,57,09/21/2022 10:01:30 PM
Byte Beat,Indie,DJ Tent,1226,6031,3,77,34,32,09/22/2022 03:40:11 PM
Parallel Processors,Electronic,Indie Arena,2299,7427,5,60,25,58,09/24/2022 12:03:25 AM
Byte Beat,Rock,Main Stage,2354,571,4,88,59,58,09/25/2022 02:47:11 AM
Bit Rate,Electronic,Indie Arena,868,7973,4,72,41,27,09/25/2022 11:38:25 AM
Bit Rate,Jazz,VIP Lounge,3346,828,5,81,15,15,09/26/2022 05:24:36 PM
Random Forest,Indie,Indie Arena,6639,1324,1,65,20,58,09/27/2022 09:40:52 PM
Byte Beat,Electronic,Main Stage,5714,5012,2,111,43,55,09/28/2022 09:22:56 AM
Hello World,Hip Hop,VIP Lounge,4936,9674,9,107,31,49,09/29/2022 10:31:39 AM
Recursive Rhythms,Jazz,Indie Arena,5161,4647,8,49,33,18,09/30/2022 08:09:23 AM
Cluster Funk,Hip Hop,DJ Tent,7942,7172,2,74,46,39,10/02/2022 03:04:27 AM
Syntax Error,Indie,Indie Arena,9458,9461,1,110,34,32,10/02/2022 07:32:01 PM
Random Forest,Rock,Indie Arena,9033,1955,6,41,31,21,10/03/2022 07:38:43 AM
The Query Strings,Jazz,DJ Tent,1665,9119,4,115,48,25,10/04/2022 10:51:41 AM
Parallel Processors,Hip Hop,VIP Lounge,4673,1922,6,30,30,56,10/05/2022 10:19:35 AM
Bit Rate,Hip Hop,VIP Lounge,1488,6340,7,45,58,16,10/06/2022 11:50:52 PM
Epsilon Greedy,Jazz,Indie Arena,9220,177,8,106,49,30,10/07/2022 05:00:20 PM
The Query Strings,Indie,Indie Arena,9627,8578,8,36,57,45,10/08/2022 08:52:27 AM
Cache Miss,Hip Hop,VIP Lounge,3914,8387,6,73,41,21,10/09/2022 08:56:22 PM
Neural Nets,Electronic,DJ Tent,1933,7861,7,62,38,18,10/11/2022 05:03:21 AM
Cluster Funk,Jazz,DJ Tent,3653,7374,5,36,26,50,10/11/2022 01:39:54 PM
The Query Strings,Indie,DJ Tent,2777,1522,2,91,21,56,10/12/2022 11:46:22 AM
Syntax Error,Jazz,Indie Arena,6898,9383,3,37,48,29,10/14/2022 02:12:56 AM
Random Forest,Rock,VIP Lounge,1997,7665,3,83,42,23,10/14/2022 12:56:27 PM
Segmentation Fault,Jazz,Indie Arena,3051,2703,3,62,19,19,10/15/2022 10:14:28 PM
Bit Rate,Jazz,VIP Lounge,7017,488,6,91,26,56,10/17/2022 01:36:50 AM
Byte Beat,Hip Hop,Indie Arena,4965,4763,5,91,29,44,10/18/2022 05:49:46 AM
Hello World,Hip Hop,Indie Arena,7778,67,4,44,53,39,10/19/2022 02:16:22 AM
The Data Wranglers,Rock,VIP Lounge,2292,9213,6,117,45,58,10/20/2022 03:23:00 AM
Cluster Funk,Electronic,Main Stage,5075,720,2,56,57,26,10/20/2022 07:16:33 PM
Cluster Funk,Indie,DJ Tent,1182,9082,5,60,26,57,10/21/2022 08:19:32 AM
Neural Nets,Rock,DJ Tent,2215,5711,4,116,15,41,10/22/2022 04:26:31 PM
Byte Beat,Hip Hop,VIP Lounge,7065,219,3,38,43,20,10/23/2022 08:36:13 PM
Epsilon Greedy,Hip Hop,Main Stage,2854,3724,4,78,51,35,10/24/2022 11:00:26 PM
Recursive Rhythms,Rock,DJ Tent,4923,7447,2,51,49,49,10/25/2022 12:33:22 PM
Recursive Rhythms,Rock,Main Stage,8732,776,8,68,44,26,10/26/2022 04:01:48 PM
Bit Rate,Rock,DJ Tent,9552,2988,8,76,43,29,10/27/2022 06:38:10 PM
Hello World,Indie,Indie Arena,7649,7886,4,94,20,20,10/28/2022 08:45:03 PM
Cluster Funk,Rock,Indie Arena,1613,3094,2,73,52,38,10/30/2022 12:27:27 AM
Epsilon Greedy,Electronic,DJ Tent,7440,2875,3,95,34,16,10/30/2022 07:49:19 AM
Infinite Loop,Jazz,Indie Arena,9638,5602,4,58,51,32,10/31/2022 10:04:13 AM
Parallel Processors,Indie,Main Stage,9764,5762,8,45,28,41,11/01/2022 01:22:07 PM
Recursive Rhythms,Jazz,Main Stage,8485,5798,7,89,50,18,11/02/2022 09:07:41 PM
Epsilon Greedy,Hip Hop,Main Stage,5707,3011,2,42,25,51,11/04/2022 12:35:56 AM
Byte Beat,Electronic,Indie Arena,2718,1959,5,38,36,28,11/04/2022 05:18:41 PM
Byte Beat,Hip Hop,VIP Lounge,6473,984,3,36,18,58,11/05/2022 08:00:42 AM
The Query Strings,Jazz,DJ Tent,3554,6418,1,41,50,24,11/06/2022 02:56:09 PM
The Query Strings,Rock,Indie Arena,2228,7219,6,98,59,18,11/07/2022 02:30:01 PM
Hello World,Jazz,VIP Lounge,6386,8925,7,68,43,59,11/09/2022 01:02:06 AM
The Query Strings,Electronic,DJ Tent,8733,6790,1,79,26,42,11/10/2022 04:09:10 AM
Cluster Funk,Electronic,DJ Tent,2628,7931,3,43,44,34,11/11/2022 03:32:10 AM
Epsilon Greedy,Rock,DJ Tent,1646,6273,4,100,44,24,11/11/2022 10:55:51 AM
Hello World,Indie,VIP Lounge,5865,4812,3,41,36,53,11/12/2022 11:57:03 PM
Hello World,Jazz,DJ Tent,4473,494,1,30,49,57,11/13/2022 10:39:29 AM
Epsilon Greedy,Jazz,Indie Arena,7756,8085,5,82,59,50,11/14/2022 07:38:17 PM
Random Forest,Electronic,Indie Arena,4317,9343,8,103,38,51,11/15/2022 12:38:31 PM
Cache Miss,Indie,VIP Lounge,3333,4262,6,43,41,31,11/16/2022 04:54:33 PM
Infinite Loop,Rock,Main Stage,8712,9101,1,61,23,45,11/17/2022 12:32:29 PM
Bit Rate,Rock,Main Stage,3502,2681,1,113,34,56,11/18/2022 08:56:21 AM
Parallel Processors,Jazz,DJ Tent,8906,1352,6,64,46,18,11/19/2022 08:12:55 PM
Cluster Funk,Indie,DJ Tent,4139,5068,7,36,54,16,11/21/2022 12:01:04 AM
Parallel Processors,Jazz,DJ Tent,1239,866,9,117,24,55,11/21/2022 10:59:58 AM
The Data Wranglers,Rock,Indie Arena,2470,3425,9,68,21,49,11/23/2022 04:05:46 AM
Cluster Funk,Hip Hop,VIP Lounge,1470,9009,6,113,53,29,11/24/2022 05:18:58 AM
Infinite Loop,Indie,DJ Tent,5556,6687,5,46,35,52,11/24/2022 10:33:24 PM
The Query Strings,Jazz,DJ Tent,5255,125,2,73,20,17,11/25/2022 06:54:33 PM
Cluster Funk,Indie,DJ Tent,558,1370,9,93,19,27,11/26/2022 07:30:45 PM
The Query Strings,Rock,DJ Tent,9810,3902,9,94,59,44,11/27/2022 11:50:10 PM
Random Forest,Rock,Indie Arena,1092,6633,4,68,38,38,11/28/2022 09:03:13 PM
The Data Wranglers,Indie,DJ Tent,8299,3922,7,100,30,34,11/29/2022 12:10:59 PM
Cache Miss,Rock,Indie Arena,5817,4768,9,66,27,40,11/30/2022 08:19:26 PM
The Query Strings,Hip Hop,Main Stage,612,163,3,84,41,22,12/01/2022 09:26:58 PM
Parallel Processors,Indie,VIP Lounge,5666,6830,2,116,57,44,12/02/2022 10:03:25 PM
Syntax Error,Hip Hop,DJ Tent,7271,2373,5,49,45,36,12/03/2022 09:46:47 AM
Syntax Error,Rock,DJ Tent,9330,2364,6,60,34,34,12/04/2022 07:22:07 PM
Syntax Error,Rock,VIP Lounge,5728,7619,6,71,15,47,12/06/2022 04:52:46 AM
The Algorithmics,Jazz,Indie Arena,3770,4509,1,63,25,39,12/06/2022 08:54:32 PM
Segmentation Fault,Electronic,DJ Tent,8609,5476,7,66,50,21,12/08/2022 02:52:29 AM
Byte Beat,Jazz,DJ Tent,8941,280,6,30,39,29,12/09/2022 06:18:36 AM
Cluster Funk,Rock,VIP Lounge,6848,4288,1,86,46,59,12/09/2022 04:01:04 PM
Bit Rate,Indie,Main Stage,338,1517,2,85,26,40,12/11/2022 12:02:28 AM
Recursive Rhythms,Rock,Indie Arena,726,1011,2,102,47,26,12/11/2022 05:25:54 PM
The Query Strings,Electronic,VIP Lounge,7349,3755,3,110,27,19,12/13/2022 03:34:04 AM
The Query Strings,Jazz,VIP Lounge,5952,6796,1,81,54,45,12/13/2022 09:45:45 PM
Random Forest,Hip Hop,VIP Lounge,485,7114,8,58,46,52,12/14/2022 07:57:46 AM
Recursive Rhythms,Rock,Main Stage,1268,7954,7,98,31,53,12/16/2022 04:48:53 AM
The Query Strings,Indie,Main Stage,7199,1697,4,64,40,46,12/17/2022 12:22:21 AM
Epsilon Greedy,Hip Hop,VIP Lounge,6156,3668,2,114,21,39,12/17/2022 08:55:11 PM
Epsilon Greedy,Jazz,VIP Lounge,7728,5140,1,57,24,25,12/19/2022 01:30:36 AM
Syntax Error,Electronic,Main Stage,3072,1237,6,74,52,41,12/20/2022 05:13:44 AM
Parallel Processors,Electronic,Indie Arena,4203,9582,3,37,40,44,12/21/2022 03:18:33 AM
Parallel Processors,Electronic,Indie Arena,9663,2191,3,85,23,15,12/21/2022 10:55:38 AM
Syntax Error,Rock,Indie Arena,814,3695,2,90,47,35,12/22/2022 11:19:12 AM
Segmentation Fault,Electronic,Indie Arena,7950,6049,5,30,15,56,12/23/2022 01:46:51 PM
Cache Miss,Electronic,VIP Lounge,3677,4866,4,44,29,53,12/25/2022 01:08:13 AM
Syntax Error,Electronic,VIP Lounge,6015,3208,9,109,22,58,12/25/2022 10:52:20 AM
Cache Miss,Electronic,Indie Arena,6404,8727,5,111,57,57,12/27/2022 05:50:36 AM
Recursive Rhythms,Electronic,DJ Tent,9597,824,2,73,19,48,12/27/2022 06:15:28 PM
Cluster Funk,Electronic,VIP Lounge,1199,3000,6,115,50,24,12/28/2022 10:33:38 AM
The Query Strings,Rock,VIP Lounge,9508,4977,9,96,31,46,12/29/2022 07:46:33 AM
Cache Miss,Indie,Indie Arena,4543,6050,2,39,53,17,12/31/2022 05:35:33 AM
Random Forest,Indie,DJ Tent,2804,2317,6,82,23,25,12/31/2022 09:22:01 PM
The Algorithmics,Electronic,Main Stage,3821,2699,3,77,20,50,01/02/2023 04:51:04 AM
Neural Nets,Jazz,DJ Tent,7384,8505,7,58,27,29,01/02/2023 09:38:31 PM
Infinite Loop,Jazz,DJ Tent,2607,4357,7,95,32,17,01/03/2023 09:13:30 PM
Infinite Loop,Rock,DJ Tent,6831,4111,2,79,42,31,01/05/2023 02:01:50 AM
The Query Strings,Rock,VIP Lounge,9244,2944,9,89,35,50,01/05/2023 09:08:25 PM
Segmentation Fault,Electronic,VIP Lounge,8580,2755,3,76,42,18,01/06/2023 03:33:42 PM
Cache Miss,Hip Hop,Indie Arena,7154,2209,5,31,38,46,01/07/2023 07:26:37 AM
Bit Rate,Jazz,Indie Arena,3114,7659,1,114,50,58,01/08/2023 11:51:01 PM
Byte Beat,Hip Hop,VIP Lounge,3737,8700,8,83,33,42,01/09/2023 11:15:09 PM
Hello World,Rock,Indie Arena,9139,7607,8,84,44,32,01/10/2023 10:59:15 AM
Epsilon Greedy,Jazz,Main Stage,6317,5799,1,65,54,17,01/12/2023 04:28:55 AM
Byte Beat,Electronic,VIP Lounge,9085,5890,8,116,21,52,01/12/2023 10:49:18 AM
Infinite Loop,Jazz,DJ Tent,8175,3155,7,93,57,22,01/14/2023 03:39:02 AM
The Data Wranglers,Hip Hop,Main Stage,4262,2333,4,39,18,31,01/14/2023 06:33:23 PM
Cache Miss,Rock,DJ Tent,1891,4382,7,99,26,34,01/15/2023 09:52:45 AM
