Date,Day Of Week,Type Of Event,Location,Waste Collected (KG),Recycling Collected (KG),Compost Collected (KG),Water Usage (L),Power Consumption (kWh),Refill Stations Uses
11/07/2022 05:43:02 PM,Friday,Indie Showcase,Indie Arena,709,751,228,10313,6010,526
11/08/2022 05:43:02 PM,Tuesday,Indie Showcase,DJ Tent,1192,816,275,10374,5559,617
11/09/2022 05:43:02 PM,Saturday,DJ Set,Main Stage,851,802,211,10037,6018,516
11/10/2022 05:43:02 PM,Tuesday,Indie Showcase,Indie Arena,825,720,224,11136,5931,639
11/11/2022 05:43:02 PM,Sunday,Outdoor Cinema,Chillout Zone,770,782,231,9835,5636,584
11/12/2022 05:43:02 PM,Thursday,Main Stage Performance,Indie Arena,875,796,262,10530,5884,620
11/13/2022 05:43:02 PM,Friday,DJ Set,Chillout Zone,1006,823,247,9953,5711,510
11/14/2022 05:43:02 PM,Sunday,Main Stage Performance,DJ Tent,1240,826,254,10330,5014,513
11/15/2022 05:43:02 PM,Tuesday,VIP Meet & Greet,Main Stage,1116,711,216,9820,5359,625
11/16/2022 05:43:02 PM,Tuesday,Indie Showcase,DJ Tent,1185,780,213,10937,5176,564
11/17/2022 05:43:02 PM,Saturday,DJ Set,Chillout Zone,952,750,236,11333,5377,545
11/18/2022 05:43:02 PM,Sunday,DJ Set,DJ Tent,1075,754,202,9919,5101,620
11/19/2022 05:43:02 PM,Sunday,VIP Meet & Greet,Indie Arena,1042,702,215,10076,5875,516
11/20/2022 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,1222,848,215,9909,5527,603
11/21/2022 05:43:02 PM,Sunday,Indie Showcase,DJ Tent,1212,839,243,9986,5432,542
11/22/2022 05:43:02 PM,Tuesday,VIP Meet & Greet,Main Stage,751,738,204,9692,5339,597
11/23/2022 05:43:02 PM,Thursday,VIP Meet & Greet,Indie Arena,870,843,255,9713,5281,598
11/24/2022 05:43:02 PM,Wednesday,Main Stage Performance,VIP Lounge,873,754,251,10985,5946,584
11/25/2022 05:43:02 PM,Saturday,VIP Meet & Greet,Main Stage,747,842,256,10963,5786,548
11/26/2022 05:43:02 PM,Tuesday,Outdoor Cinema,VIP Lounge,942,714,233,10603,5754,628
11/27/2022 05:43:02 PM,Friday,DJ Set,Indie Arena,897,806,269,10796,5525,570
11/28/2022 05:43:02 PM,Tuesday,DJ Set,Main Stage,806,816,218,11314,5199,590
11/29/2022 05:43:02 PM,Thursday,DJ Set,Main Stage,819,832,242,10191,5487,554
11/30/2022 05:43:02 PM,Thursday,DJ Set,Main Stage,1158,837,241,10612,5803,540
12/01/2022 05:43:02 PM,Tuesday,DJ Set,Chillout Zone,832,764,237,11388,5847,624
12/02/2022 05:43:02 PM,Wednesday,Main Stage Performance,Chillout Zone,1265,743,224,9882,5015,594
12/03/2022 05:43:02 PM,Saturday,DJ Set,Indie Arena,1077,794,218,11044,5843,579
12/04/2022 05:43:02 PM,Saturday,Outdoor Cinema,DJ Tent,1121,722,203,10879,5511,526
12/05/2022 05:43:02 PM,Tuesday,DJ Set,Main Stage,1077,800,256,11270,5204,572
12/06/2022 05:43:02 PM,Tuesday,Indie Showcase,Chillout Zone,1087,790,252,11155,5350,597
12/07/2022 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,987,760,237,11372,5208,577
12/08/2022 05:43:02 PM,Monday,Outdoor Cinema,DJ Tent,745,713,214,11400,5369,635
12/09/2022 05:43:02 PM,Saturday,DJ Set,Chillout Zone,713,826,238,11273,5432,540
12/10/2022 05:43:02 PM,Wednesday,Indie Showcase,Indie Arena,1159,809,273,10407,6000,602
12/11/2022 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,1112,808,258,10837,5060,623
12/12/2022 05:43:02 PM,Sunday,VIP Meet & Greet,Indie Arena,1019,707,216,11016,5934,599
12/13/2022 05:43:02 PM,Friday,Outdoor Cinema,DJ Tent,944,711,204,9747,5087,549
12/14/2022 05:43:02 PM,Friday,Outdoor Cinema,Chillout Zone,979,792,215,9719,5520,546
12/15/2022 05:43:02 PM,Tuesday,Outdoor Cinema,Chillout Zone,1023,742,254,10931,5438,510
12/16/2022 05:43:02 PM,Thursday,Main Stage Performance,VIP Lounge,1082,701,262,10114,5832,538
12/17/2022 05:43:02 PM,Sunday,DJ Set,DJ Tent,831,793,234,10468,5693,539
12/18/2022 05:43:02 PM,Thursday,Main Stage Performance,Indie Arena,1024,747,266,10464,5293,592
12/19/2022 05:43:02 PM,Sunday,DJ Set,Chillout Zone,717,793,234,11174,5513,534
12/20/2022 05:43:02 PM,Monday,Outdoor Cinema,Indie Arena,1201,756,263,11099,5323,529
12/21/2022 05:43:02 PM,Thursday,DJ Set,VIP Lounge,1061,753,246,10672,6051,608
12/22/2022 05:43:02 PM,Friday,Indie Showcase,Indie Arena,720,823,243,10038,5858,571
12/23/2022 05:43:02 PM,Sunday,DJ Set,VIP Lounge,880,726,203,11319,5262,615
12/24/2022 05:43:02 PM,Wednesday,Main Stage Performance,Indie Arena,856,758,206,10752,6029,635
12/25/2022 05:43:02 PM,Sunday,VIP Meet & Greet,Indie Arena,707,769,240,10878,5041,567
12/26/2022 05:43:02 PM,Monday,DJ Set,Chillout Zone,756,788,229,11107,6031,546
12/27/2022 05:43:02 PM,Wednesday,DJ Set,DJ Tent,834,779,207,11248,5305,639
12/28/2022 05:43:02 PM,Sunday,Indie Showcase,DJ Tent,842,844,254,11246,5119,581
12/29/2022 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,1187,765,236,11191,5403,600
12/30/2022 05:43:02 PM,Saturday,Main Stage Performance,Main Stage,1092,763,217,10246,5383,620
12/31/2022 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,714,826,268,10389,5312,617
01/01/2023 05:43:02 PM,Monday,DJ Set,Chillout Zone,1131,772,215,9857,5319,624
01/02/2023 05:43:02 PM,Thursday,VIP Meet & Greet,DJ Tent,895,754,236,11437,5335,551
01/03/2023 05:43:02 PM,Wednesday,Main Stage Performance,VIP Lounge,1068,762,262,10002,5391,628
01/04/2023 05:43:02 PM,Tuesday,DJ Set,VIP Lounge,989,826,242,11024,5897,558
01/05/2023 05:43:02 PM,Thursday,DJ Set,DJ Tent,1020,801,233,10808,5806,610
01/06/2023 05:43:02 PM,Sunday,DJ Set,VIP Lounge,844,724,244,10479,5552,570
01/07/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Main Stage,1085,800,231,10193,5336,607
01/08/2023 05:43:02 PM,Tuesday,Main Stage Performance,Indie Arena,1187,732,274,10521,5291,617
01/09/2023 05:43:02 PM,Monday,Indie Showcase,Main Stage,814,802,225,10823,5805,547
01/10/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,DJ Tent,1080,792,230,11291,5561,556
01/11/2023 05:43:02 PM,Monday,Outdoor Cinema,Main Stage,1272,753,202,10331,5644,561
01/12/2023 05:43:02 PM,Tuesday,Main Stage Performance,Indie Arena,859,801,266,10986,5565,566
01/13/2023 05:43:02 PM,Friday,Outdoor Cinema,Indie Arena,1117,790,240,11029,5333,600
01/14/2023 05:43:02 PM,Wednesday,Main Stage Performance,Chillout Zone,1093,800,210,10382,5605,532
01/15/2023 05:43:02 PM,Friday,VIP Meet & Greet,DJ Tent,959,755,255,11111,5691,529
01/16/2023 05:43:02 PM,Thursday,DJ Set,Chillout Zone,834,717,222,9745,5806,538
01/17/2023 05:43:02 PM,Wednesday,DJ Set,Main Stage,873,848,230,10747,5526,605
01/18/2023 05:43:02 PM,Thursday,DJ Set,VIP Lounge,1027,731,249,11409,5133,519
01/19/2023 05:43:02 PM,Saturday,Main Stage Performance,Indie Arena,1005,786,240,10726,5338,598
01/20/2023 05:43:02 PM,Wednesday,Main Stage Performance,Main Stage,1064,773,221,10312,5792,570
01/21/2023 05:43:02 PM,Friday,DJ Set,Main Stage,1188,709,237,10547,5216,577
01/22/2023 05:43:02 PM,Thursday,Indie Showcase,Chillout Zone,1248,760,235,10581,5008,634
01/23/2023 05:43:02 PM,Tuesday,Outdoor Cinema,Chillout Zone,1054,732,205,11240,5102,578
01/24/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,826,790,269,11111,5706,613
01/25/2023 05:43:02 PM,Friday,VIP Meet & Greet,Main Stage,883,777,273,10446,5327,572
01/26/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Chillout Zone,1055,767,262,9800,5691,518
01/27/2023 05:43:02 PM,Friday,Outdoor Cinema,VIP Lounge,1104,731,209,11290,5496,637
01/28/2023 05:43:02 PM,Friday,Main Stage Performance,DJ Tent,1097,772,202,11438,6039,563
01/29/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,723,711,264,10909,5279,618
01/30/2023 05:43:02 PM,Saturday,Outdoor Cinema,Chillout Zone,737,716,237,11186,5874,517
01/31/2023 05:43:02 PM,Thursday,Indie Showcase,VIP Lounge,1264,716,274,9853,5347,536
02/01/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Chillout Zone,811,705,264,10372,5694,553
02/02/2023 05:43:02 PM,Thursday,Main Stage Performance,Main Stage,800,826,266,9762,5992,605
02/03/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,1211,724,242,10769,5747,600
02/04/2023 05:43:02 PM,Monday,Outdoor Cinema,VIP Lounge,1193,753,226,10121,5103,572
02/05/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Chillout Zone,930,841,227,10495,5675,576
02/06/2023 05:43:02 PM,Friday,VIP Meet & Greet,VIP Lounge,1140,803,235,9912,5809,634
02/07/2023 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,1251,816,265,11128,5841,500
02/08/2023 05:43:02 PM,Monday,VIP Meet & Greet,VIP Lounge,1043,711,246,11271,5981,625
02/09/2023 05:43:02 PM,Sunday,DJ Set,DJ Tent,775,791,259,10758,5224,535
02/10/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,712,806,237,10318,5864,623
02/11/2023 05:43:02 PM,Saturday,Indie Showcase,VIP Lounge,960,843,229,10647,6011,522
02/12/2023 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,842,823,254,10484,5355,594
02/13/2023 05:43:02 PM,Friday,Main Stage Performance,Main Stage,1063,807,224,11312,5973,582
02/14/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,863,713,212,11211,5440,614
02/15/2023 05:43:02 PM,Thursday,Main Stage Performance,Chillout Zone,1091,803,253,11392,5686,538
02/16/2023 05:43:02 PM,Tuesday,Outdoor Cinema,Main Stage,974,754,212,9821,5304,608
02/17/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Chillout Zone,1059,831,206,10645,5330,559
02/18/2023 05:43:02 PM,Tuesday,Outdoor Cinema,Main Stage,1075,731,273,10782,5530,584
02/19/2023 05:43:02 PM,Tuesday,Main Stage Performance,Chillout Zone,778,785,239,10155,5977,524
02/20/2023 05:43:02 PM,Tuesday,DJ Set,Main Stage,1251,729,247,10325,5715,554
02/21/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,1210,780,242,11203,5571,572
02/22/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,990,706,230,9997,5108,567
02/23/2023 05:43:02 PM,Thursday,Indie Showcase,Main Stage,1242,782,260,10262,5760,515
02/24/2023 05:43:02 PM,Sunday,Outdoor Cinema,Chillout Zone,850,726,232,10238,5409,555
02/25/2023 05:43:02 PM,Saturday,DJ Set,Main Stage,1218,777,274,9677,5353,635
02/26/2023 05:43:02 PM,Wednesday,Main Stage Performance,Chillout Zone,719,733,247,10528,5155,585
02/27/2023 05:43:02 PM,Monday,Outdoor Cinema,Chillout Zone,917,733,209,10046,6056,516
02/28/2023 05:43:02 PM,Tuesday,Indie Showcase,Indie Arena,1009,744,258,10059,5414,514
03/01/2023 05:43:02 PM,Monday,VIP Meet & Greet,VIP Lounge,1115,715,235,10072,5400,633
03/02/2023 05:43:02 PM,Friday,Outdoor Cinema,Indie Arena,748,834,208,11149,5756,590
03/03/2023 05:43:02 PM,Monday,Indie Showcase,Main Stage,981,793,259,10444,5424,561
03/04/2023 05:43:02 PM,Monday,DJ Set,DJ Tent,857,704,233,11278,5683,538
03/05/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,1194,848,271,9988,5769,557
03/06/2023 05:43:02 PM,Saturday,Outdoor Cinema,Main Stage,828,779,212,10946,5195,587
03/07/2023 05:43:02 PM,Wednesday,DJ Set,Chillout Zone,749,762,247,11035,5799,596
03/08/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,1274,758,214,9919,5391,562
03/09/2023 05:43:02 PM,Thursday,Indie Showcase,Indie Arena,846,737,249,11251,5221,553
03/10/2023 05:43:02 PM,Tuesday,Outdoor Cinema,DJ Tent,1038,829,272,10532,5400,612
03/11/2023 05:43:02 PM,Sunday,Main Stage Performance,DJ Tent,820,815,248,10998,5039,556
03/12/2023 05:43:02 PM,Saturday,Outdoor Cinema,DJ Tent,970,811,254,10659,5293,547
03/13/2023 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,1209,836,207,9791,5354,555
03/14/2023 05:43:02 PM,Thursday,Outdoor Cinema,Chillout Zone,1225,810,200,10267,5160,550
03/15/2023 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,890,845,245,9914,5974,556
03/16/2023 05:43:02 PM,Tuesday,Main Stage Performance,Indie Arena,1201,770,201,11298,5519,614
03/17/2023 05:43:02 PM,Thursday,Indie Showcase,VIP Lounge,892,787,267,10330,5464,594
03/18/2023 05:43:02 PM,Sunday,Main Stage Performance,Indie Arena,889,827,247,9980,5441,605
03/19/2023 05:43:02 PM,Monday,VIP Meet & Greet,VIP Lounge,939,820,259,10256,5945,599
03/20/2023 05:43:02 PM,Saturday,VIP Meet & Greet,DJ Tent,1144,718,260,10378,5647,544
03/21/2023 05:43:02 PM,Friday,Outdoor Cinema,Main Stage,1068,829,214,10946,5771,612
03/22/2023 05:43:02 PM,Sunday,Indie Showcase,Main Stage,1136,719,251,10423,5298,582
03/23/2023 05:43:02 PM,Thursday,DJ Set,VIP Lounge,779,721,206,10053,5118,549
03/24/2023 05:43:02 PM,Friday,DJ Set,Main Stage,1089,755,211,10211,5198,624
03/25/2023 05:43:02 PM,Thursday,Main Stage Performance,VIP Lounge,735,773,248,10626,5177,614
03/26/2023 05:43:02 PM,Wednesday,Main Stage Performance,DJ Tent,985,816,266,10461,5055,565
03/27/2023 05:43:02 PM,Thursday,Outdoor Cinema,Main Stage,924,735,236,9970,5743,618
03/28/2023 05:43:02 PM,Friday,Outdoor Cinema,Chillout Zone,1073,713,230,10692,5888,633
03/29/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Chillout Zone,1165,822,230,10582,5209,627
03/30/2023 05:43:02 PM,Saturday,DJ Set,Chillout Zone,870,841,265,10945,5423,543
03/31/2023 05:43:02 PM,Sunday,DJ Set,VIP Lounge,917,713,216,10015,5158,559
04/01/2023 05:43:02 PM,Monday,Outdoor Cinema,DJ Tent,957,766,220,10651,5229,520
04/02/2023 05:43:02 PM,Monday,DJ Set,Main Stage,978,740,215,10084,5706,609
04/03/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,837,830,250,10299,5176,632
04/04/2023 05:43:02 PM,Saturday,Main Stage Performance,DJ Tent,759,728,217,10614,5561,534
04/05/2023 05:43:02 PM,Friday,VIP Meet & Greet,Indie Arena,760,826,200,10686,5619,618
04/06/2023 05:43:02 PM,Tuesday,Main Stage Performance,Main Stage,1156,804,207,10143,5137,502
04/07/2023 05:43:02 PM,Monday,VIP Meet & Greet,VIP Lounge,849,839,208,11333,5260,611
04/08/2023 05:43:02 PM,Saturday,DJ Set,DJ Tent,715,800,206,10733,5337,619
04/09/2023 05:43:02 PM,Monday,VIP Meet & Greet,Indie Arena,1097,805,226,10739,5215,590
04/10/2023 05:43:02 PM,Sunday,Main Stage Performance,Chillout Zone,815,721,220,9735,5342,532
04/11/2023 05:43:02 PM,Monday,Indie Showcase,DJ Tent,812,759,272,9753,5500,619
04/12/2023 05:43:02 PM,Friday,VIP Meet & Greet,Main Stage,1079,814,231,10808,5539,522
04/13/2023 05:43:02 PM,Tuesday,Main Stage Performance,DJ Tent,1183,735,237,11206,5916,589
04/14/2023 05:43:02 PM,Friday,Indie Showcase,VIP Lounge,1187,807,236,10278,5785,631
04/15/2023 05:43:02 PM,Sunday,Main Stage Performance,Indie Arena,1110,767,266,9727,5499,540
04/16/2023 05:43:02 PM,Friday,Main Stage Performance,DJ Tent,1261,830,222,10147,5651,562
04/17/2023 05:43:02 PM,Friday,DJ Set,Chillout Zone,843,737,230,11127,5942,516
04/18/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,859,700,217,11242,5607,527
04/19/2023 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,953,776,228,11055,5414,633
04/20/2023 05:43:02 PM,Wednesday,Indie Showcase,DJ Tent,790,788,263,10399,5197,612
04/21/2023 05:43:02 PM,Friday,Outdoor Cinema,VIP Lounge,1266,711,257,10741,5791,547
04/22/2023 05:43:02 PM,Saturday,Outdoor Cinema,Main Stage,971,788,273,9994,5086,553
04/23/2023 05:43:02 PM,Friday,DJ Set,Chillout Zone,993,718,217,10204,5852,622
04/24/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Chillout Zone,949,846,215,9719,5233,623
04/25/2023 05:43:02 PM,Tuesday,DJ Set,Indie Arena,1044,724,260,10292,5199,631
04/26/2023 05:43:02 PM,Thursday,Main Stage Performance,Indie Arena,1003,743,268,9967,5011,518
04/27/2023 05:43:02 PM,Thursday,VIP Meet & Greet,VIP Lounge,859,814,239,10567,5205,625
04/28/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Indie Arena,1043,751,235,11004,5203,540
04/29/2023 05:43:02 PM,Thursday,VIP Meet & Greet,DJ Tent,1167,766,275,11000,5823,618
04/30/2023 05:43:02 PM,Sunday,VIP Meet & Greet,Indie Arena,1173,718,206,9883,6019,555
05/01/2023 05:43:02 PM,Saturday,Main Stage Performance,Indie Arena,838,805,250,10264,5796,575
05/02/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,1172,711,228,9878,5592,508
05/03/2023 05:43:02 PM,Thursday,Outdoor Cinema,DJ Tent,905,831,201,10625,5651,619
05/04/2023 05:43:02 PM,Thursday,Outdoor Cinema,Chillout Zone,895,791,224,11130,5722,605
05/05/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,905,769,215,11140,5520,524
05/06/2023 05:43:02 PM,Monday,Main Stage Performance,Chillout Zone,909,762,221,10389,5609,534
05/07/2023 05:43:02 PM,Tuesday,DJ Set,Chillout Zone,721,753,223,10809,5175,512
05/08/2023 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,803,746,275,10173,5778,576
05/09/2023 05:43:02 PM,Monday,DJ Set,Chillout Zone,803,771,242,9736,5952,502
05/10/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Main Stage,988,840,265,10097,5339,625
05/11/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,DJ Tent,713,819,223,9969,6072,580
05/12/2023 05:43:02 PM,Monday,VIP Meet & Greet,Chillout Zone,981,762,260,10967,5362,537
05/13/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Main Stage,959,826,274,9896,5610,583
05/14/2023 05:43:02 PM,Friday,Indie Showcase,DJ Tent,1129,743,248,10633,5398,575
05/15/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Indie Arena,986,722,254,10594,5066,596
05/16/2023 05:43:02 PM,Thursday,Outdoor Cinema,Chillout Zone,1267,768,256,11304,5003,584
05/17/2023 05:43:02 PM,Sunday,Main Stage Performance,Chillout Zone,1109,701,250,10537,5542,601
05/18/2023 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,745,800,214,10685,5945,637
05/19/2023 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,982,759,231,11093,5157,638
05/20/2023 05:43:02 PM,Thursday,Indie Showcase,Indie Arena,731,812,232,11140,6029,506
05/21/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,1207,766,202,10651,5211,528
05/22/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,707,823,222,10626,5532,543
05/23/2023 05:43:02 PM,Saturday,DJ Set,DJ Tent,946,839,230,10849,5984,631
05/24/2023 05:43:02 PM,Monday,Indie Showcase,Chillout Zone,1124,764,216,10565,5942,633
05/25/2023 05:43:02 PM,Friday,Indie Showcase,Chillout Zone,792,702,211,11039,5275,548
05/26/2023 05:43:02 PM,Monday,Outdoor Cinema,DJ Tent,794,729,268,10674,5309,626
05/27/2023 05:43:02 PM,Tuesday,Main Stage Performance,VIP Lounge,1198,785,203,10691,5535,558
05/28/2023 05:43:02 PM,Wednesday,Main Stage Performance,Chillout Zone,1065,831,251,10585,5934,639
05/29/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Main Stage,810,754,229,10711,5809,527
05/30/2023 05:43:02 PM,Thursday,VIP Meet & Greet,VIP Lounge,1158,840,250,11434,5280,532
05/31/2023 05:43:02 PM,Tuesday,Outdoor Cinema,Chillout Zone,808,735,232,11067,5118,625
06/01/2023 05:43:02 PM,Tuesday,Main Stage Performance,Indie Arena,1113,740,245,9757,5877,586
06/02/2023 05:43:02 PM,Tuesday,DJ Set,Indie Arena,1030,749,200,11156,5514,525
06/03/2023 05:43:02 PM,Tuesday,DJ Set,Indie Arena,714,800,274,11006,5606,577
06/04/2023 05:43:02 PM,Saturday,DJ Set,VIP Lounge,1023,757,200,11138,6035,585
06/05/2023 05:43:02 PM,Monday,VIP Meet & Greet,Main Stage,744,768,250,9661,5009,639
06/06/2023 05:43:02 PM,Sunday,Main Stage Performance,DJ Tent,922,832,221,10900,5401,586
06/07/2023 05:43:02 PM,Thursday,Main Stage Performance,VIP Lounge,791,764,266,9751,5610,589
06/08/2023 05:43:02 PM,Friday,VIP Meet & Greet,Main Stage,1110,743,202,10287,5817,517
06/09/2023 05:43:02 PM,Friday,DJ Set,DJ Tent,1266,817,219,9929,5010,621
06/10/2023 05:43:02 PM,Sunday,Indie Showcase,Indie Arena,951,732,217,9940,5526,561
06/11/2023 05:43:02 PM,Wednesday,DJ Set,Main Stage,1074,752,231,11221,5065,611
06/12/2023 05:43:02 PM,Tuesday,Indie Showcase,DJ Tent,748,795,251,10257,5682,523
06/13/2023 05:43:02 PM,Sunday,Main Stage Performance,DJ Tent,750,700,228,10624,5894,526
06/14/2023 05:43:02 PM,Tuesday,Outdoor Cinema,DJ Tent,708,746,264,10868,5014,525
06/15/2023 05:43:02 PM,Thursday,DJ Set,DJ Tent,1200,845,259,11261,5179,559
06/16/2023 05:43:02 PM,Sunday,DJ Set,Main Stage,1266,794,200,9982,5720,563
06/17/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,VIP Lounge,777,769,214,11326,5998,533
06/18/2023 05:43:02 PM,Wednesday,Main Stage Performance,VIP Lounge,969,810,227,11136,5731,548
06/19/2023 05:43:02 PM,Sunday,Indie Showcase,VIP Lounge,727,755,263,9846,5133,554
06/20/2023 05:43:02 PM,Monday,DJ Set,VIP Lounge,775,837,225,9967,5877,562
06/21/2023 05:43:02 PM,Friday,VIP Meet & Greet,VIP Lounge,1175,754,247,10443,5229,538
06/22/2023 05:43:02 PM,Wednesday,DJ Set,VIP Lounge,1142,709,236,11170,5845,609
06/23/2023 05:43:02 PM,Monday,Indie Showcase,VIP Lounge,804,834,232,9720,6029,628
06/24/2023 05:43:02 PM,Sunday,Indie Showcase,Main Stage,1128,794,274,9826,5857,627
06/25/2023 05:43:02 PM,Friday,Main Stage Performance,DJ Tent,1197,765,204,11061,5465,509
06/26/2023 05:43:02 PM,Thursday,Indie Showcase,Indie Arena,1148,758,267,11147,5606,622
06/27/2023 05:43:02 PM,Wednesday,Main Stage Performance,Main Stage,796,840,257,11344,5830,579
06/28/2023 05:43:02 PM,Tuesday,Outdoor Cinema,Indie Arena,925,731,203,11192,5417,585
06/29/2023 05:43:02 PM,Thursday,Main Stage Performance,DJ Tent,1135,804,255,11098,5477,509
06/30/2023 05:43:02 PM,Saturday,Indie Showcase,Chillout Zone,1060,736,220,9828,5466,583
07/01/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,717,701,261,10163,5999,638
07/02/2023 05:43:02 PM,Thursday,Outdoor Cinema,VIP Lounge,887,757,247,10180,5040,607
07/03/2023 05:43:02 PM,Sunday,Indie Showcase,VIP Lounge,920,755,229,10748,5981,566
07/04/2023 05:43:02 PM,Tuesday,DJ Set,VIP Lounge,1212,838,221,9991,5345,570
07/05/2023 05:43:02 PM,Saturday,Main Stage Performance,Indie Arena,1068,720,236,10970,5441,570
07/06/2023 05:43:02 PM,Sunday,DJ Set,Chillout Zone,960,799,217,10602,5532,511
07/07/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,1235,836,200,10464,5733,595
